title,artist,spotify_url,duration_ms,release_year
Beautiful Girls,Sean Kingston,https://open.spotify.com/track/4Tf94tAHtlQxjbeeyU3y7C,225373,2007.0
Just Give Me A Reason,P!nk Featuring Nate Ruess,https://open.spotify.com/track/1mKXFLRA179hdOWQBwUk9e,242721,2012.0
What Makes You Beautiful,One Direction,https://open.spotify.com/track/4cluDES4hQEUhmXj6TXkSo,199986,2012.0
Smells Like Teen Spirit,Nirvana,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf,301920,1991.0
"""Thank U, Next""",Ariana Grande,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,207333,2018.0
How You Remind Me,Nickelback,https://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf,223840,2001.0
Earned It (Fifty Shades Of Grey),The Weeknd,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm,252226,2014.0
With You,Chris Brown,https://open.spotify.com/track/5Lgcn7u07bHuqbOtXkN62u,252120,2007.0
Psycho,Post Malone Featuring Ty Dolla $ign,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,221440,2018.0
I Don't Want To Miss A Thing,Aerosmith,https://open.spotify.com/track/6lEuFGrUqR9Yc6hSsHPnYP,299760,1998.0
Positions,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,172324,2020.0
Kryptonite,3 Doors Down,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6,233933,2000.0
Summer,Calvin Harris,https://open.spotify.com/track/6YUTL4dYpB9xZO5qExPf05,222533,2014.0
One More Night,Maroon 5,https://open.spotify.com/track/6cpk00i5TxCqSeqNi2HuIe,219546,2012.0
Empire State Of Mind,Jay-Z + Alicia Keys,https://open.spotify.com/track/2igwFfvr1OAGX9SKDCPBwO,276920,2009.0
I Ain't Worried,OneRepublic,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB,148485,2022.0
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,https://open.spotify.com/track/6QFCMUUq1T2Vf5sFUXcuQ7,227986,2012.0
Irreplaceable,Beyonce,https://open.spotify.com/track/3qim3nNFg4aSTLZDLAFXhx,227666,2006.0
Kiss Me More,Doja Cat Featuring SZA,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz,208666,2021.0
No Tears Left To Cry,Ariana Grande,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,205920,2018.0
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,251088,2016.0
Don't Stop 'Til You Get Enough,Michael Jackson,https://open.spotify.com/track/46eu3SBuFCXWsPT39Yg3tJ,364441,1979.0
I'm The One,"""DJ Khaled Featuring Justin Bieber, Quavo, Chance the Rapper & Lil Wayne""",https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,288600,2017.0
The Real Slim Shady,Eminem,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,284200,2000.0
Better Now,Post Malone,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,231266,2018.0
Say So,Doja Cat Featuring Nicki Minaj,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,237894,2019.0
